focalLoss + Êý¾Ý¾ùºâ
modelName=Mynet, batch_size=128, learn_rate =0.000100, epochs=200, steps_per_epoch=500, validation_steps=100, isprep = 1

t_loss    t_acc     c_loss    c_acc     nc_loss   nc_acc    
0.015524  0.989688  0.018887  0.993281  0.041719  0.983672
0.011766  0.991484  0.010543  0.996563  0.048575  0.981016
0.013568  0.990469  0.007204  0.997500  0.072643  0.972500
0.011377  0.991641  0.010176  0.995781  0.062199  0.978359
0.013499  0.991641  0.017656  0.993906  0.032981  0.988203
0.011461  0.992578  0.012360  0.996016  0.046350  0.982422
0.013099  0.991484  0.015232  0.994609  0.036270  0.986250
0.012682  0.992500  0.024284  0.991172  0.023538  0.991328
0.014320  0.990391  0.006943  0.997969  0.070991  0.971562
0.013105  0.991797  0.012893  0.995234  0.036522  0.985859
0.014232  0.990547  0.015095  0.995234  0.032727  0.987187
0.012723  0.992109  0.032189  0.989375  0.029394  0.988828
0.012088  0.991875  0.018573  0.993516  0.027585  0.990156
0.011915  0.991875  0.012857  0.995391  0.042260  0.984453
0.011741  0.992500  0.016017  0.993672  0.033975  0.987422
0.012999  0.991719  0.009651  0.996484  0.053740  0.978984
0.013946  0.992031  0.012603  0.995781  0.056690  0.978203
0.011903  0.992031  0.019185  0.992266  0.024528  0.990547
0.010817  0.991953  0.010458  0.996172  0.045361  0.982500
0.009855  0.993750  0.016148  0.994219  0.032031  0.987656
0.011422  0.992578  0.023771  0.992031  0.030861  0.989062
0.009819  0.994687  0.013863  0.995391  0.034992  0.987187
0.011425  0.991797  0.019496  0.994297  0.026555  0.990547
0.013134  0.990547  0.028550  0.990391  0.019503  0.992812
0.011724  0.992344  0.045992  0.983203  0.009558  0.996719
0.010969  0.992422  0.028508  0.990078  0.027626  0.990000
0.010305  0.993672  0.016769  0.995000  0.028710  0.988750
0.008889  0.994375  0.019777  0.993125  0.033600  0.987266
0.011092  0.993125  0.011621  0.995469  0.034979  0.986641
0.010173  0.993516  0.014916  0.995000  0.038966  0.986719
0.010125  0.993281  0.020743  0.992266  0.028276  0.989219
0.013622  0.991016  0.021390  0.993203  0.030834  0.989375
0.010026  0.993672  0.014000  0.994453  0.035910  0.986797
0.010885  0.993672  0.013121  0.995625  0.026916  0.989844
0.012232  0.991641  0.010324  0.996484  0.049592  0.981719
0.010505  0.992812  0.036451  0.987031  0.015665  0.994453
0.010094  0.993516  0.021029  0.992266  0.030833  0.989375
0.010838  0.992656  0.025717  0.990469  0.028040  0.989219
0.009468  0.993750  0.014001  0.995000  0.033637  0.988125
0.012735  0.991719  0.017019  0.994453  0.029207  0.989141
0.010701  0.993281  0.015924  0.993984  0.036637  0.987344
0.010643  0.993828  0.020947  0.993203  0.022346  0.991953
0.010761  0.992656  0.007691  0.997188  0.041628  0.983984
0.011884  0.993047  0.022816  0.992031  0.021098  0.991484
0.009901  0.993359  0.017523  0.994766  0.028513  0.989453
0.008853  0.994141  0.012147  0.995859  0.041811  0.985078
0.013018  0.991719  0.018724  0.994219  0.028299  0.988516
0.012254  0.992188  0.019783  0.993359  0.024677  0.990859
0.010216  0.993594  0.026877  0.990469  0.020416  0.993828
0.009846  0.993125  0.022283  0.992656  0.026824  0.989922
0.008033  0.993828  0.008680  0.997031  0.052584  0.982266
0.010257  0.994609  0.009237  0.996406  0.045565  0.982812
0.007834  0.995000  0.014007  0.994687  0.033187  0.988672
0.009650  0.993516  0.012001  0.995703  0.039461  0.985781
0.009856  0.993984  0.033510  0.988047  0.021048  0.991797
0.011582  0.992734  0.014335  0.994141  0.056104  0.978984
0.008448  0.994687  0.016207  0.994922  0.031420  0.988594
0.010157  0.992734  0.023269  0.993203  0.023970  0.990938
0.007466  0.995156  0.013929  0.994766  0.035722  0.987578
0.007556  0.995391  0.015739  0.994453  0.033809  0.988281
0.010404  0.993750  0.020673  0.992891  0.024412  0.989922
0.007748  0.994766  0.020704  0.992422  0.030152  0.990313
0.007903  0.994141  0.008247  0.996953  0.048109  0.982891
0.007202  0.995547  0.010794  0.996406  0.036690  0.986875
0.009997  0.994141  0.030915  0.989141  0.020991  0.992734
0.009681  0.993828  0.007716  0.997656  0.056977  0.979609
0.007520  0.995313  0.020049  0.993281  0.026968  0.990547
0.010114  0.993359  0.026078  0.990234  0.019264  0.992812
0.008851  0.994219  0.007892  0.997422  0.079604  0.973281
0.010187  0.994062  0.013401  0.996016  0.029867  0.989062
0.007529  0.995547  0.013873  0.995078  0.028819  0.988672
0.008346  0.993984  0.008005  0.997031  0.048147  0.981719
0.012057  0.992891  0.018664  0.993750  0.021397  0.991875
0.010805  0.993281  0.011042  0.995703  0.032058  0.987500
0.009998  0.993984  0.021089  0.993047  0.022454  0.991719
0.009792  0.994141  0.019831  0.993516  0.022305  0.990781
0.008375  0.995000  0.019470  0.992422  0.021514  0.992891
0.007866  0.995078  0.011877  0.996016  0.044883  0.985078
0.009663  0.993281  0.014068  0.995078  0.029333  0.989141
0.008513  0.994922  0.009695  0.996484  0.042846  0.985547
0.009298  0.994219  0.018680  0.993516  0.034237  0.986953
0.009032  0.994219  0.031064  0.988906  0.021657  0.993047
0.009023  0.994922  0.005936  0.997969  0.054954  0.980625
0.008239  0.993594  0.005559  0.997656  0.061056  0.980000
0.009022  0.994609  0.020906  0.993203  0.028759  0.989375
0.008390  0.994766  0.013687  0.995625  0.037360  0.987266
0.008559  0.994141  0.016895  0.995234  0.026584  0.990313
0.008254  0.994609  0.018332  0.993594  0.024726  0.990938
0.009474  0.994141  0.013826  0.995547  0.029089  0.989453
0.009563  0.993828  0.009521  0.997109  0.042262  0.983203
0.009004  0.994297  0.013291  0.995547  0.027542  0.990859
0.007788  0.994531  0.011870  0.996328  0.042126  0.985000
0.008153  0.994219  0.006400  0.998203  0.059119  0.978125
0.007866  0.995469  0.012403  0.995859  0.035416  0.987578
0.009985  0.993516  0.015243  0.994375  0.026481  0.991484
0.009053  0.994609  0.019972  0.993281  0.029718  0.989766
0.008544  0.994141  0.010995  0.996406  0.038665  0.986406
0.008532  0.995000  0.023880  0.992500  0.024222  0.990469
